x坐标,u0,CFL0.5_t1,CFL0.5_t2,CFL0.5_t3,CFL0.8_t1,CFL0.8_t2,CFL0.8_t3,CFL1.0_t1,CFL1.0_t2,CFL1.0_t3,CFL1.33_t1,CFL1.33_t2,CFL1.33_t3
0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.01,1,4.54747e-13,4.1359e-25,6.71089e-19,2.2518e-36,0,0,2.32306e-08,-1.61898e-15,0,0,0,0
0.02,1,1.90994e-11,3.39144e-23,7.04643e-17,4.61619e-34,0,0,-1.46353e-06,1.99134e-13,0,0,0,0
0.03,1,3.91992e-10,1.37395e-21,3.56013e-15,4.63983e-32,0,0,4.31392e-05,-1.18461e-11,0,0,0,0
0.04,1,5.2396e-09,3.66615e-20,1.15229e-13,3.0476e-30,0,0,-0.000789445,4.53902e-10,0,0,0,0
0.05,1,5.12919e-08,7.24768e-19,2.68362e-12,1.47105e-28,0,0,0.0100341,-1.2587e-08,0,0,0,0
0.06,1,3.92079e-07,1.13216e-17,4.78873e-11,5.56367e-27,0,0,-0.0938723,2.69097e-07,0,0,0,0
0.07,1,2.4368e-06,1.45548e-16,6.80739e-10,1.71672e-25,0,0,0.668108,-4.61343e-06,0,0,0,0
0.08,1,1.26604e-05,1.58369e-15,7.91333e-09,4.44302e-24,0,0,-3.68607,6.5137e-05,0,0,0,0
0.09,1,5.61107e-05,1.48865e-14,7.66229e-08,9.84127e-23,0,0,15.9077,-0.000771868,0,0,0,0
0.1,1,0.000215429,1.22787e-13,6.263e-07,1.89428e-21,0,0,-53.7591,0.00778418,0,0,0,0
0.11,1,0.000725246,8.99672e-13,4.3641e-06,3.20648e-20,0,0,141.308,-0.067509,0,0,0,0
0.12,1,0.002162,5.91411e-12,2.61113e-05,4.8188e-19,0,0,-284.293,0.507457,0,0,0,0
0.13,1,0.00575389,3.5165e-11,0.000134847,6.47941e-18,0,0,425.042,-3.32565,0,0,0,0
0.14,1,0.0137666,1.9042e-10,0.000603249,7.84498e-17,0,0,-447.985,19.0833,0,0,0,0
0.15,1,0.0297919,9.44514e-10,0.00234303,8.59843e-16,0,0,300.324,-96.1627,0,0,0,0
0.16,1,0.0586376,4.3128e-09,0.00791031,8.56959e-15,0,0,-98.7746,426.286,0,0,0,0
0.17,1,0.105512,1.8207e-08,0.0232203,7.79573e-14,0,0,1,-1663.51,0,0,0,0
0.18,1,0.174444,7.13318e-08,0.059244,6.49385e-13,0,0,1,5712.24,0,0,0,0
0.19,1,0.266355,2.6022e-07,0.131291,4.96684e-12,0,0,1,-17234.5,0,0,0,0
0.2,1,0.377614,8.86534e-07,0.252634,3.49618e-11,0,0,1,45567.1,0,0,0,0
0.21,1,0.5,2.82811e-06,0.422514,2.2693e-10,0,0,1,-105157,0,0,0,0
0.22,1,0.622386,8.46792e-06,0.616662,1.36045e-09,1,0,1,210646,0,0,0,0
0.23,1,0.733645,2.38492e-05,0.79316,7.54331e-09,1,0,1,-363541,0,0,0,0
0.24,1,0.825556,6.33056e-05,0.915942,3.87264e-08,1,0,1,535186,0,0,0,0
0.25,1,0.894488,0.000158658,0.977333,1.84248e-07,1,0,1,-663116,0,0,0,0
0.26,1,0.941362,0.000376063,0.996978,8.12899e-07,1,0,1,678982,0,0,0,0
0.27,1,0.970208,0.000844319,1,3.3275e-06,1,0,1,-559878,0,0,0,0
0.28,1,0.986233,0.00179817,1,1.26409e-05,1,0,1,357796,0,0,0,0
0.29,1,0.994246,0.00363775,1,4.45724e-05,1,0,1,-166589,0,0,0,0
0.3,1,0.997838,0.00699974,1,0.000145872,1,0,1,50398,0,0,0,0
0.31,0,0.999275,0.0128272,1,0.000443019,1,0,1,-7465.22,0,0,0,0
0.32,0,0.999785,0.0224143,1,0.00124819,1,0,1,1,0,0,0,0
0.33,0,0.999944,0.0373941,1,0.00326112,1,0,0.999957,1,0,0,0,0
0.34,0,0.999987,0.0596368,1,0.00789695,1,0,1.00079,1,0,0,0,0
0.35,0,0.999998,0.0910384,1,0.017714,1,0,0.989966,1,0,0,0,0
0.36,0,0.999999,0.133206,1,0.0367872,1,0,1.09387,1,0,0,0,0
0.37,0,0.999998,0.187087,1,0.070695,1,0,0.331892,1,0,0,0,0
0.38,0,0.999987,0.252618,1,0.125681,1,0,4.68607,0.999935,0,0,0,0
0.39,0,0.999944,0.328496,1,0.206712,1,0,-14.9077,1.00077,0,0,0,0
0.4,0,0.999785,0.412157,0.999999,0.314754,1,0,54.7591,0.992216,0,0,0,0
0.41,0,0.999275,0.5,0.999996,0.444404,1,0,-140.308,1.06751,0,0,0,0
0.42,0,0.997838,0.587843,0.999974,0.583541,1,1,285.293,0.492543,0,0,0,0
0.43,0,0.994246,0.671504,0.999865,0.716053,1,1,-424.042,4.32565,0,0,0,0
0.44,0,0.986233,0.747382,0.999397,0.826993,1,1,448.985,-18.0833,0,0,0,0
0.45,0,0.970208,0.812913,0.997657,0.907676,1,1,-299.324,97.1627,0,0,0,0
0.46,0,0.941362,0.866794,0.99209,0.957879,1,1,99.7746,-425.286,0,0,0,0
0.47,0,0.894488,0.908962,0.97678,0.984072,1,1,0,1664.51,0,0,0,0
0.48,0,0.825556,0.940363,0.940756,0.995218,1,1,0,-5711.24,0,0,0,0
0.49,0,0.733645,0.962606,0.868709,0.998933,1,1,0,17235.5,0,0,0,0
0.5,0,0.622386,0.977585,0.747366,0.999843,1,1,0,-45566.1,0,0,0,0
0.51,0,0.5,0.98717,0.577486,0.999989,1,1,0,105158,0,0,0,0
0.52,0,0.377614,0.992992,0.383338,1,0,1,0,-210645,0,0,0,0
0.53,0,0.266355,0.996338,0.20684,1,0,1,0,363542,0,0,0,0
0.54,0,0.174444,0.998139,0.0840581,1,0,1,0,-535185,0,0,0,0
0.55,0,0.105512,0.998997,0.0226674,1,0,1,0,663117,0,0,0,0
0.56,0,0.0586376,0.999248,0.00302231,0.999999,0,1,0,-678981,0,0,0,0
0.57,0,0.0297919,0.998997,0,0.999997,0,1,0,559879,0,0,0,0
0.58,0,0.0137666,0.998139,0,0.999987,0,1,0,-357795,0,0,0,0
0.59,0,0.00575389,0.996338,0,0.999955,0,1,0,166590,0,0,0,0
0.6,0,0.002162,0.992992,0,0.999854,0,1,0,-50397,0,0,0,0
0.61,0,0.000725246,0.98717,0,0.999557,0,1,0,7466.22,0,0,0,0
0.62,0,0.000215429,0.977585,0,0.998752,0,1,0,0,0,0,0,0
0.63,0,5.61107e-05,0.962606,0,0.996739,0,1,0,0,0,0,0,0
0.64,0,1.26604e-05,0.940363,0,0.992103,0,1,0,0,0,0,0,0
0.65,0,2.4368e-06,0.908962,0,0.982286,0,1,0,0,0,0,0,0
0.66,0,3.92079e-07,0.866794,0,0.963213,0,1,0,0,0,0,0,0
0.67,0,5.12919e-08,0.812913,0,0.929305,0,1,0,0,0,0,0,0
0.68,0,5.2396e-09,0.747382,0,0.874319,0,1,0,0,0,0,0,0
0.69,0,3.91992e-10,0.671504,0,0.793288,0,1,0,0,0,0,0,0
0.7,0,1.90994e-11,0.587843,0,0.685246,0,1,0,0,0,0,0,0
0.71,0,4.54747e-13,0.5,0,0.555596,0,1,0,0,0,0,0,0
0.72,0,0,0.412157,0,0.416459,0,0,0,0,0,0,0,0
0.73,0,0,0.328496,0,0.283947,0,0,0,0,0,0,0,0
0.74,0,0,0.252618,0,0.173007,0,0,0,0,0,0,0,0
0.75,0,0,0.187087,0,0.092324,0,0,0,0,0,0,0,0
0.76,0,0,0.133206,0,0.042121,0,0,0,0,0,0,0,0
0.77,0,0,0.0910384,0,0.0159281,0,0,0,0,0,0,0,0
0.78,0,0,0.0596368,0,0.00478217,0,0,0,0,0,0,0,0
0.79,0,0,0.0373941,0,0.00106687,0,0,0,0,0,0,0,0
0.8,0,0,0.0224143,0,0.000156997,0,0,0,0,0,0,0,0
0.81,0,0,0.0128272,0,1.1418e-05,0,0,0,0,0,0,0,0
0.82,0,0,0.00699974,0,0,0,0,0,0,0,0,0,0
0.83,0,0,0.00363775,0,0,0,0,0,0,0,0,0,0
0.84,0,0,0.00179817,0,0,0,0,0,0,0,0,0,0
0.85,0,0,0.000844319,0,0,0,0,0,0,0,0,0,0
0.86,0,0,0.000376063,0,0,0,0,0,0,0,0,0,0
0.87,0,0,0.000158658,0,0,0,0,0,0,0,0,0,0
0.88,0,0,6.33056e-05,0,0,0,0,0,0,0,0,0,0
0.89,0,0,2.38492e-05,0,0,0,0,0,0,0,0,0,0
0.9,0,0,8.46792e-06,0,0,0,0,0,0,0,0,0,0
0.91,0,0,2.82811e-06,0,0,0,0,0,0,0,0,0,0
0.92,0,0,8.86534e-07,0,0,0,0,0,0,0,0,0,0
0.93,0,0,2.6022e-07,0,0,0,0,0,0,0,0,0,0
0.94,0,0,7.13318e-08,0,0,0,0,0,0,0,0,0,0
0.95,0,0,1.8207e-08,0,0,0,0,0,0,0,0,0,0
0.96,0,0,4.3128e-09,0,0,0,0,0,0,0,0,0,0
0.97,0,0,9.44514e-10,0,0,0,0,0,0,0,0,0,0
0.98,0,0,1.9042e-10,0,0,0,0,0,0,0,0,0,0
0.99,0,0,3.5165e-11,0,0,0,0,0,0,0,0,0,0
1,0,0,5.91411e-12,0,0,0,0,0,0,0,0,0,0
